S.No,Scheme Name,Page URL,PDF URL,Status
27,Pradhan Mantri Matru Vandana Yojana (PMMVY),https://pmmvy.wcd.gov.in,https://pmmvy.wcd.gov.in/WebsiteContent/assets/pdf/Mission%20Shakti%20Guidelines%202021-22%20to%202025-26.pdf,DOWNLOADED
27,Pradhan Mantri Matru Vandana Yojana (PMMVY),https://pmmvy.wcd.gov.in,https://pmmvy.wcd.gov.in/WebsiteContent/assets/pdf/success-story/ss-001.pdf,DOWNLOADED
28,Integrated Child Development Services (ICDS)/Saksham Anganwadi,https://wcd.nic.in,NO_PDF_FOUND,
29,PM POSHAN (Mid-Day Meal Scheme),https://pmposhan.education.gov.in,NO_PDF_FOUND,
30,Beti Bachao Beti Padhao,https://wcd.nic.in/bbbp-schemes,NO_PDF_FOUND,
31,Pradhan Mantri Ujjwala Yojana (PMUY),https://pmuy.gov.in,https://pmuy.gov.in/documents/Brief%20on%20Insurance%20Policy%20for%20LPG.pdf,DOWNLOADED
31,Pradhan Mantri Ujjwala Yojana (PMUY),https://pmuy.gov.in,https://pmuy.gov.in/documents/KYC.pdf,DOWNLOADED
31,Pradhan Mantri Ujjwala Yojana (PMUY),https://pmuy.gov.in,https://pmuy.gov.in/documents/unified_form-DBTL.pdf,DOWNLOADED
32,National Social Assistance Programme - Old Age Pension,https://nsap.nic.in,NO_PDF_FOUND,
33,Pradhan Mantri Vaya Vandana Yojana,https://licindia.in,NO_PDF_FOUND,
34,Pradhan Mantri Kaushal Vikas Yojana (PMKVY),https://www.pmkvyofficial.org,NO_PDF_FOUND,
35,National Scholarship Portal - Post Matric Scholarship (SC/ST/OBC),https://scholarships.gov.in,https://scholarships.gov.in/public/userManual/NSPInstituteKYCRegistrationUserManualV1.2.pdf,DOWNLOADED
35,National Scholarship Portal - Post Matric Scholarship (SC/ST/OBC),https://scholarships.gov.in,https://scholarships.gov.in/public/nodalOfficersList/grievance_redressal_officer1.pdf,DOWNLOADED
35,National Scholarship Portal - Post Matric Scholarship (SC/ST/OBC),https://scholarships.gov.in,https://scholarships.gov.in/public/FAQ/DNO_SNO_FAQs_21122023_updated.pdf,DOWNLOADED
36,National Food Security Act - Public Distribution System,https://nfsa.gov.in,https://nfsa.gov.in/doc/FAQ_for_Mera_Ration_2.pdf,DOWNLOADED
36,National Food Security Act - Public Distribution System,https://nfsa.gov.in,https://dfpd.gov.in/WriteReadData/Allocation/da284af0-99df-4ec6-a76e-627b7bfa5d27_Revised%20allocation%20of%20food%20grains%20to%20Uttar%20Pradesh%20for%20February001.pdf,DOWNLOADED
37,Pradhan Mantri Garib Kalyan Anna Yojana (PMGKAY),https://dfpd.gov.in,NO_PDF_FOUND,
38,PM Van Dhan Yojana,https://trifed.tribal.gov.in,NO_PDF_FOUND,
39,National Pension Scheme for Traders (NPS-Traders / PM-LVM),https://maandhan.in/shopkeeper,NO_PDF_FOUND,
40,PM Shram Yogi Mandhan (PM-SYM),https://maandhan.in,NO_PDF_FOUND,
41,CM Comprehensive Health Insurance Scheme (CMCHIS),https://www.cmchistn.com,NO_PDF_FOUND,
42,Kalaignar Magalir Urimai Thittam (KMUT) / Madhippumigu Magalir Thittam,https://kmut.tn.gov.in,NO_PDF_FOUND,
43,Pudhumai Penn Scheme,https://pudhumaipenn.tn.gov.in,NO_PDF_FOUND,
44,Free Bus Travel Scheme for Women (TN Government Buses),https://tnstc.in,https://www.tnstc.in/inner_pages_2024/pdf/PASSENGERENTRYFOR_TDR.pdf,DOWNLOADED
44,Free Bus Travel Scheme for Women (TN Government Buses),https://tnstc.in,https://www.tnstc.in/inner_pages_2024/pdf/Online%20ticket%20Booking%20&%20Cancellation%20flow.pdf,DOWNLOADED
45,Dr. Muthulakshmi Reddy Maternity Benefit Scheme,https://www.tnsocialwelfare.tn.gov.in,NO_PDF_FOUND,
46,Marriage Assistance Scheme (TN - various categories),https://www.tnsocialwelfare.tn.gov.in,NO_PDF_FOUND,
47,Vetri Vaanmagal Scheme (Women Farmer Drone Training),https://www.tnau.ac.in,NO_PDF_FOUND,
48,Vetri Magalir Goat/Sheep Rearing Scheme,https://ahd.tn.gov.in,NO_PDF_FOUND,
49,Thai Maaman Thanga Mothiram Thittam,https://www.tnhealth.tn.gov.in,https://www.tnhealth.tn.gov.in/online_notification/notification/N26084699.pdf,DOWNLOADED
49,Thai Maaman Thanga Mothiram Thittam,https://www.tnhealth.tn.gov.in,https://www.tnhealth.tn.gov.in/online_notification/notification/N26084698.pdf,DOWNLOADED
49,Thai Maaman Thanga Mothiram Thittam,https://www.tnhealth.tn.gov.in,https://www.tnhealth.tn.gov.in/online_notification/notification/N26084697.pdf,DOWNLOADED
50,Uzhavar Pathukappu Thittam (Farmers Pension Scheme - TN),https://www.tnagrisnet.tn.gov.in,https://www.tnagrisnet.tn.gov.in/includes/seedCal.pdf,DOWNLOADED
50,Uzhavar Pathukappu Thittam (Farmers Pension Scheme - TN),https://www.tnagrisnet.tn.gov.in,https://www.tnagrisnet.tn.gov.in/includes/images/RTI.pdf,DOWNLOADED
50,Uzhavar Pathukappu Thittam (Farmers Pension Scheme - TN),https://www.tnagrisnet.tn.gov.in,https://www.tnagrisnet.tn.gov.in/includes/tend.pdf,DOWNLOADED
